system:index,Forest Loss Total,year,.geo
0,7.512152093505141E7,2001.0,
1,8.737594354913163E7,2002.0,
2,2.8112954064349003E7,2003.0,
3,1.3310642129790302E8,2004.0,
4,8.279198112806731E7,2005.0,
5,6.95377295512298E7,2006.0,
6,8.464757457740718E7,2007.0,
7,1.0166671797212033E8,2008.0,
8,1.1569909674507172E8,2009.0,
9,1.3447278624365547E8,2010.0,
10,1.0310881059117647E8,2011.0,
11,1.871707904159651E8,2012.0,
12,1.2653117164206256E8,2013.0,
13,1.8257625433088306E8,2014.0,
14,1.3347041146708243E8,2015.0,
15,2.2252214559478927E8,2016.0,
16,2.5883456809716177E8,2017.0,
17,3.2333929419355273E8,2018.0,
18,3.3937359734720314E8,2019.0,
