system:index,Forest Loss Total,year,.geo
0,5705812.99551619,2001.0,
1,6806561.240903607,2002.0,
2,2639247.40423584,2003.0,
3,1.124948093853736E7,2004.0,
4,1.294828743720751E7,2005.0,
5,1.3316708538052667E7,2006.0,
6,1.5537756583480056E7,2007.0,
7,1.0602812588741764E7,2008.0,
8,1.4408480860036334E7,2009.0,
9,3.1422216729045555E7,2010.0,
10,1.0433895805948175E7,2011.0,
11,8943188.802348776,2012.0,
12,4571824.570536295,2013.0,
13,7518450.442265529,2014.0,
14,7988620.019172459,2015.0,
15,1.215955500299479E7,2016.0,
16,1.1064929909944423E7,2017.0,
17,1.0532301714793487E7,2018.0,
18,2.1091718246290497E7,2019.0,
