system:index,Forest Loss Total,year,.geo
0,1.0108618887601103E8,2001.0,
1,1.481242753000273E8,2002.0,
2,8.606430859341754E7,2003.0,
3,1.776033044208676E8,2004.0,
4,1.32194966419419E8,2005.0,
5,1.44460423748943E8,2006.0,
6,1.884566118792516E8,2007.0,
7,1.8817498930883574E8,2008.0,
8,2.1460033323490995E8,2009.0,
9,2.4244491914773762E8,2010.0,
10,1.6149317445096338E8,2011.0,
11,2.6510797450185573E8,2012.0,
12,2.676903923791942E8,2013.0,
13,3.362948140666243E8,2014.0,
14,2.8047650043282634E8,2015.0,
15,4.2498403871160746E8,2016.0,
16,3.629593451155447E8,2017.0,
17,3.651192776909891E8,2018.0,
18,2.693987286020156E8,2019.0,
