system:index,Forest Loss Total,year,.geo
0,1.5764748539924532E8,2001.0,
1,1.3872349071819374E8,2002.0,
2,7.714510611510082E7,2003.0,
3,1.7268245702294084E8,2004.0,
4,1.800156664580253E8,2005.0,
5,1.210810054317603E8,2006.0,
6,2.2110194475925535E8,2007.0,
7,1.5975215383729586E8,2008.0,
8,1.5176257225145787E8,2009.0,
9,1.642897880598858E8,2010.0,
10,1.6295019510548168E8,2011.0,
11,2.64054453015029E8,2012.0,
12,1.2028913063145344E8,2013.0,
13,1.8639942596535525E8,2014.0,
14,1.0495941229963188E8,2015.0,
15,2.1667903230975267E8,2016.0,
16,1.843925675772078E8,2017.0,
17,1.7365962854837888E8,2018.0,
18,1.1863480094677784E8,2019.0,
