system:index,Forest Loss Total,year,.geo
0,2.1689288136408332E8,2001.0,
1,2.8545904108867633E8,2002.0,
2,1.9706362310694844E8,2003.0,
3,4.439830461497782E8,2004.0,
4,2.904804805124595E8,2005.0,
5,4.73513959938128E8,2006.0,
6,4.5742595360248256E8,2007.0,
7,3.746957266303194E8,2008.0,
8,5.3613291065100414E8,2009.0,
9,4.749538107610881E8,2010.0,
10,3.237116848772852E8,2011.0,
11,4.8337479761319536E8,2012.0,
12,5.569145197285447E8,2013.0,
13,6.732132442009093E8,2014.0,
14,5.718120128353642E8,2015.0,
15,8.914955217859732E8,2016.0,
16,7.072621665601361E8,2017.0,
17,9.23471239115021E8,2018.0,
18,6.378433235767301E8,2019.0,
