system:index,Forest Loss Total,year,.geo
0,1.2568059049618177E9,2001.0,
1,1.668771001988102E9,2002.0,
2,8.814348474215969E8,2003.0,
3,2.578274022780742E9,2004.0,
4,1.9002849205622404E9,2005.0,
5,2.3684910216787047E9,2006.0,
6,1.8039753174603431E9,2007.0,
7,2.800658631616394E9,2008.0,
8,2.057699023507965E9,2009.0,
9,2.586051750960033E9,2010.0,
10,2.0415974263382952E9,2011.0,
11,2.319542341141763E9,2012.0,
12,1.9650701190381644E9,2013.0,
13,2.2256886135281816E9,2014.0,
14,2.1412062607929833E9,2015.0,
15,3.0318555831852303E9,2016.0,
16,3.2188112202923675E9,2017.0,
17,2.8248304604719768E9,2018.0,
18,3.1769856316196294E9,2019.0,
