system:index,Forest Loss Total,year,.geo
0,3.548553878299321E7,2001.0,
1,1.0216307376343733E7,2002.0,
2,1.4815773988685519E7,2003.0,
3,2.2840191407864086E7,2004.0,
4,4.3085298453599624E7,2005.0,
5,4.98965742698448E7,2006.0,
6,4.097916230201488E7,2007.0,
7,5.659461602852126E7,2008.0,
8,6.229320146357196E7,2009.0,
9,4.359057698653339E7,2010.0,
10,3.0876349189716652E7,2011.0,
11,4.2032478744192086E7,2012.0,
12,1.9946111616444305E7,2013.0,
13,4.36248314260236E7,2014.0,
14,2.5446486946061436E7,2015.0,
15,4.6072160729211666E7,2016.0,
16,4.242899386717373E7,2017.0,
17,3.1261790295356177E7,2018.0,
18,7.792347867508416E7,2019.0,
