system:index,Forest Loss Total,year,.geo
0,1.4794792134549394E8,2001.0,
1,1.7801725738780102E8,2002.0,
2,5.5280754570368394E7,2003.0,
3,1.784813833078819E8,2004.0,
4,1.4638922650604758E8,2005.0,
5,2.0929177982606557E8,2006.0,
6,1.605912245208798E8,2007.0,
7,1.8181675153173026E8,2008.0,
8,1.8686793903814942E8,2009.0,
9,2.139480373233878E8,2010.0,
10,2.5552810805550215E8,2011.0,
11,1.762052941432671E8,2012.0,
12,1.6850724665515867E8,2013.0,
13,2.3257124231265882E8,2014.0,
14,2.5033602939647156E8,2015.0,
15,3.3801304097147864E8,2016.0,
16,3.630981874789656E8,2017.0,
17,3.9183583712194306E8,2018.0,
18,4.300318970368423E8,2019.0,
