system:index,Forest Loss Total,year,.geo
0,2.534043442613741E7,2001.0,
1,5.3838441131499164E7,2002.0,
2,3.23028836278136E7,2003.0,
3,1.1221747293942322E8,2004.0,
4,2.0784403980383655E8,2005.0,
5,7.859823769407241E7,2006.0,
6,1.8380290932315522E8,2007.0,
7,1.4539687998389605E8,2008.0,
8,1.215818285870725E8,2009.0,
9,1.453525366430762E8,2010.0,
10,1.980421994043661E8,2011.0,
11,1.343865335604614E8,2012.0,
12,7.150157119489266E7,2013.0,
13,1.298274007321873E8,2014.0,
14,7.626216076334131E7,2015.0,
15,1.6437306522159523E8,2016.0,
16,1.605969505035096E8,2017.0,
17,1.777368517487549E8,2018.0,
18,2.45402628119279E8,2019.0,
