system:index,Forest Loss Total,year,.geo
0,1.3357673836969852E9,2001.0,
1,1.3785302645859582E9,2002.0,
2,8.834726257986704E8,2003.0,
3,1.4578018490744557E9,2004.0,
4,2.2899466154022913E9,2005.0,
5,1.8102280327610013E9,2006.0,
6,1.5085659444365952E9,2007.0,
7,2.002788126742045E9,2008.0,
8,1.7525480949106724E9,2009.0,
9,1.6587981048267403E9,2010.0,
10,1.434158172208328E9,2011.0,
11,1.6011879820809934E9,2012.0,
12,1.482433297185046E9,2013.0,
13,1.8554951823214636E9,2014.0,
14,1.7091854908885837E9,2015.0,
15,2.38223713252035E9,2016.0,
16,2.9573608290684996E9,2017.0,
17,2.598540696486285E9,2018.0,
18,2.792436362481496E9,2019.0,
