system:index,Forest Loss Total,year,.geo
0,1.3411269175813757E8,2001.0,
1,1.3598129927670252E8,2002.0,
2,5.6552899568259075E7,2003.0,
3,4.062177499153847E8,2004.0,
4,3.712413157129255E8,2005.0,
5,3.883718871615825E8,2006.0,
6,6.006764782809074E8,2007.0,
7,5.2452811450118434E8,2008.0,
8,2.7860118718814343E8,2009.0,
9,6.255420857255912E8,2010.0,
10,3.2862640848669755E8,2011.0,
11,2.536968932961009E8,2012.0,
12,1.4823086753652993E8,2013.0,
13,1.9193107473165E8,2014.0,
14,1.259827339345093E8,2015.0,
15,2.6000585414176315E8,2016.0,
16,3.051132233542712E8,2017.0,
17,4.24506342727451E8,2018.0,
18,7.663749526911758E8,2019.0,
