system:index,Forest Loss Total,year,.geo
0,8.34880541509938E7,2001.0,
1,9.237636682122636E7,2002.0,
2,3.0240131253985234E7,2003.0,
3,1.4132292776585957E8,2004.0,
4,8.860096633540376E7,2005.0,
5,7.387983442482598E7,2006.0,
6,9.856109093577234E7,2007.0,
7,1.3402991364111233E8,2008.0,
8,1.2761056097700532E8,2009.0,
9,1.3981633620769355E8,2010.0,
10,1.1142986068669648E8,2011.0,
11,2.0997310904401687E8,2012.0,
12,1.5408425562570512E8,2013.0,
13,1.9530574960499194E8,2014.0,
14,1.3933095788395256E8,2015.0,
15,2.4411579176507735E8,2016.0,
16,3.2911735511394644E8,2017.0,
17,3.7564732845350146E8,2018.0,
18,3.53253718445958E8,2019.0,
