system:index,Forest Loss Total,year,.geo
0,2.06904800931188E8,2001.0,
1,2.6851769360353863E8,2002.0,
2,2.0695179826476175E8,2003.0,
3,2.987571215844833E8,2004.0,
4,3.856754553070053E8,2005.0,
5,3.833399378020548E8,2006.0,
6,3.588466247666691E8,2007.0,
7,2.918332561140433E8,2008.0,
8,3.485070876395773E8,2009.0,
9,4.733539094770115E8,2010.0,
10,4.1092000683696073E8,2011.0,
11,3.316312600514758E8,2012.0,
12,2.7818891484684145E8,2013.0,
13,3.226975807287434E8,2014.0,
14,3.079596188579564E8,2015.0,
15,4.485257301962216E8,2016.0,
16,4.6566676476301336E8,2017.0,
17,4.660947442302666E8,2018.0,
18,5.575199589845204E8,2019.0,
