system:index,Forest Loss Total,year,.geo
0,3.2507472649435606E7,2001.0,
1,3.4647549512754194E7,2002.0,
2,3.217286452418093E7,2003.0,
3,4.089960960698721E7,2004.0,
4,1.1245054809890854E8,2005.0,
5,6.3453586117889054E7,2006.0,
6,8.557622071873613E7,2007.0,
7,1.059937108544163E8,2008.0,
8,1.0568717784554611E8,2009.0,
9,1.488316534930039E8,2010.0,
10,1.0772723949937339E8,2011.0,
11,8.507870171157108E7,2012.0,
12,4.621317284404297E7,2013.0,
13,1.4119230571898815E8,2014.0,
14,4.8399462180021405E7,2015.0,
15,1.5218100010889462E8,2016.0,
16,1.2639988074542093E8,2017.0,
17,1.4160749842895555E8,2018.0,
18,9.722427291153781E7,2019.0,
