system:index,Forest Loss Total,year,.geo
0,508821.8216595818,2001.0,
1,759987.7320178462,2002.0,
2,965807.3911800609,2003.0,
3,2686348.181308881,2004.0,
4,565169.4172973633,2005.0,
5,3146419.6955994847,2006.0,
6,4447685.250871007,2007.0,
7,9106751.695174871,2008.0,
8,2133271.837727146,2009.0,
9,8466277.584777113,2010.0,
10,4359789.068247117,2011.0,
11,4417867.230034323,2012.0,
12,3254444.4417865826,2013.0,
13,4054169.057552562,2014.0,
14,3097429.9857156193,2015.0,
15,4882182.2668500105,2016.0,
16,3788097.225807818,2017.0,
17,4219825.365503408,2018.0,
18,4875652.800315468,2019.0,
