system:index,Forest Loss Total,year,.geo
0,5705812.99551619,2001.0,
1,6832276.740598431,2002.0,
2,2639247.40423584,2003.0,
3,1.1267681975890875E7,2004.0,
4,1.2953234405286124E7,2005.0,
5,1.3325040761441339E7,2006.0,
6,1.5564125059004957E7,2007.0,
7,1.0606746461971747E7,2008.0,
8,1.4409030517262897E7,2009.0,
9,3.145672723716323E7,2010.0,
10,1.0782712867593683E7,2011.0,
11,8980346.105998678,2012.0,
12,4601331.778055826,2013.0,
13,7546886.949101467,2014.0,
14,7988620.01917246,2015.0,
15,1.2159555002994793E7,2016.0,
16,1.1068791021943934E7,2017.0,
17,1.053505101893167E7,2018.0,
18,2.1113116810621552E7,2019.0,
