system:index,Forest Loss Total,year,.geo
0,1.4547233699354127E8,2001.0,
1,2.3874888487485883E8,2002.0,
2,2.297510317161889E8,2003.0,
3,3.369781045030029E8,2004.0,
4,6.276122196525062E8,2005.0,
5,3.256056428237377E8,2006.0,
6,5.214774154251865E8,2007.0,
7,4.2944779994295E8,2008.0,
8,4.488825541756263E8,2009.0,
9,6.745214070925221E8,2010.0,
10,5.511180388571604E8,2011.0,
11,5.34171542916327E8,2012.0,
12,3.357035205080598E8,2013.0,
13,5.315611823173919E8,2014.0,
14,4.0855714613336325E8,2015.0,
15,7.92630356842321E8,2016.0,
16,8.364363820305063E8,2017.0,
17,6.421318523561105E8,2018.0,
18,7.133614859760454E8,2019.0,
