system:index,Forest Loss Total,year,.geo
0,1.7508422510235694E8,2001.0,
1,2.714664956546183E8,2002.0,
2,1.9785462101847664E8,2003.0,
3,4.330230074817184E8,2004.0,
4,3.023597433404191E8,2005.0,
5,3.542247685998179E8,2006.0,
6,2.976952645784428E8,2007.0,
7,2.6782910339013508E8,2008.0,
8,3.4429207491463166E8,2009.0,
9,4.353120755476512E8,2010.0,
10,2.685494467326373E8,2011.0,
11,6.085553194657562E8,2012.0,
12,5.668803744597375E8,2013.0,
13,6.310247981270493E8,2014.0,
14,5.053288887760611E8,2015.0,
15,1.0119766953815187E9,2016.0,
16,2.0115560133640466E9,2017.0,
17,1.0208349938748797E9,2018.0,
18,4.208142731721529E8,2019.0,
