system:index,Forest Loss Total,year,.geo
0,1.477770298767127E8,2001.0,
1,1.5934558171739712E8,2002.0,
2,1.4904120593369069E7,2003.0,
3,1.822598931430744E8,2004.0,
4,7.172847232496709E7,2005.0,
5,1.5123372047295916E8,2006.0,
6,2.5485408680070814E8,2007.0,
7,1.1047522112104027E8,2008.0,
8,2.497521938034612E8,2009.0,
9,2.2130903775540042E8,2010.0,
10,1.6122924245699784E8,2011.0,
11,2.899899361689255E8,2012.0,
12,2.6128249974321502E8,2013.0,
13,2.856201414611087E8,2014.0,
14,2.198179450903039E8,2015.0,
15,2.6198020847119522E8,2016.0,
16,2.219923598666218E8,2017.0,
17,2.479149159205965E8,2018.0,
18,2.728407281055444E8,2019.0,
